X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64,X65,X66,X67,X68,X69,X70,X71,X72,X73,X74,X75,X76,X77,X78,Class Label
60.1827957,56.20276498,49.96620584,25.62020994,25.93843103,25.88593841,0.941517662,0.947497008,0.97099092,2.416456403,2.409994176,2.434080229,5.758910697,5.718379194,5.651874106,116,115,112,0.838746516,0.634223919,96.86386768,2070.676845,0.767578125,0.000458891,3797.292939,0.000380138,3222.218714,0.000293511,2467.017176,0.852455247,47.37528217,104.8137698,2437.177201,0.865234375,0.036272657,3731.753104,0.001299531,3352.952543,47.04278426,998.969526,0.836505583,0.862700229,88.75809088,2007.505394,0.746826172,0.00045818,3751.512259,0.000379597,3129.385261,0.000401237,3584.291272,0.850742208,47.43402091,106.2811529,2422.670528,0.864013672,0.036323479,3715.169257,0.001300585,3314.681818,47.10924418,970.6914383,0.384024578,0.072196621,0.043010753,0.058371736,0.032258065,0.013056836,0.030721966,0.033794163,0.119815668,0.01843318,0.020737327,0.016129032,0.061443932,0.020737327,0.106758833,0.060675883,0
133.4984375,127.57375,115.2459375,29.27808477,31.05578949,34.28617363,0.220331202,0.337453023,0.46563647,2.076564415,1.982439636,1.882241209,6.55218231,6.568332,6.593770146,143,148,153,0.956710063,0.085521185,50.08552119,3434.923577,0.939208984,7.26E-05,16825.17416,7.03E-05,15865.83656,4.17E-06,2031.204055,0.938012272,41.2883997,53.47192679,3486.356419,0.987060547,0.031481977,16486.87262,0.000873727,15853.50429,41.23646103,1131.602028,0.939520256,0.125266525,48.82409382,3203.147655,0.916015625,7.23E-05,16892.15352,6.84E-05,15714.75088,6.98E-06,2780.09355,0.937667149,41.31980198,53.23762376,3481.327723,0.986328125,0.031505418,16461.05866,0.000874498,15802.27574,41.26708211,1157.39505,0.1978125,0.0990625,0.046875,0.0903125,0.0325,0.0253125,0.0325,0.0646875,0.1115625,0.02125,0.02625,0.0175,0.0840625,0.02,0.0990625,0.06875,0
135.5689437,130.9962049,119.3475648,31.85056362,33.14242908,36.27173181,0.012674787,0.113544144,0.243226305,2.001260828,1.866251196,1.720421964,6.647967715,6.66185098,6.700591204,147,149,155,0.938655143,0.136059877,45.6709436,3187.927025,0.913330078,7.17E-05,17523.49078,6.83E-05,16095.32297,6.74E-06,3355.709436,0.925911792,42.00704225,49.40895372,3319.552314,0.970703125,0.032010452,17197.61393,0.000886014,16240.42619,41.9313419,1784.689386,0.927497452,0.2,44.0998632,3030.095486,0.892333984,7.22E-05,17438.44761,6.82E-05,15811.19004,9.50E-06,4948.601368,0.917358667,42.64786935,48.57233988,3200.376372,0.956787109,0.032475335,17075.04134,0.000897798,15922.9639,42.54121462,2622.256443,0.219165085,0.09487666,0.044908286,0.08285895,0.036685642,0.024984187,0.030676787,0.072422517,0.107843137,0.02055661,0.028462998,0.01771031,0.080645161,0.018659077,0.093611638,0.063883618,0
140.5081967,134.907849,124.3944362,29.65717443,31.59636932,35.24019361,-0.006995307,0.045267525,0.106252299,1.71889192,1.625611998,1.511879975,6.537340626,6.542823625,6.567732637,135,138,149,0.939752114,0.132176235,49.91909212,3201.602403,0.914306641,6.47E-05,18636.13138,6.17E-05,17200.29771,5.88E-06,3341.895327,0.914271616,42.86717949,52.70358974,3159.213846,0.952148438,0.032626335,18152.09949,0.000894969,16926.54023,42.74846698,2947.165128,0.930326925,0.158691538,49.16490943,3082.938902,0.903076172,6.46E-05,18648.79535,6.10E-05,17036.1624,7.34E-06,3885.631252,0.921911521,42.4679878,53.29776423,3254.688008,0.9609375,0.032328327,18216.76016,0.000887487,17176.29054,42.35747457,2753.289634,0.218330849,0.107054148,0.042722305,0.096125186,0.048683557,0.020615996,0.031296572,0.060357675,0.107550919,0.020864382,0.021361153,0.016145057,0.091157476,0.017138599,0.080725286,0.049677099,0
128.9449078,123.3463565,112.1294996,30.64249508,32.37047347,35.54294659,0.230248599,0.311061365,0.408384013,2.112824061,2.03695367,1.948620996,6.731505767,6.743338736,6.779308975,156,157,164,0.948829543,0.109589041,45.38935722,3322.599579,0.926757813,7.93E-05,15698.36828,7.63E-05,14613.39908,5.55E-06,2583.337197,0.936380899,41.40525794,48.97767857,3462.654762,0.984375,0.031573921,15461.56448,0.000882073,14792.84132,41.34896179,1138.089782,0.954670168,0.104204753,45.86967877,3400.961348,0.934814453,7.88E-05,15835.73857,7.58E-05,14928.24739,5.56E-06,2367.262732,0.934003152,41.52076598,48.97612534,3430.621985,0.981689453,0.031660219,15420.34295,0.000884281,14702.87017,41.46207742,1276.989555,0.197980685,0.100087796,0.041922739,0.088235294,0.03358209,0.026997366,0.030289728,0.065627744,0.113257243,0.017998244,0.026997366,0.01690079,0.082528534,0.023924495,0.091747147,0.068261633,0
143.4449472,141.0897436,136.1866516,65.91613622,67.47614136,69.99436685,-0.047681654,-0.020476124,8.47E-05,1.498804374,1.464950588,1.44452471,7.52357849,7.527717859,7.561735436,249,250,252,0.962391404,0.061728395,25.83179012,3521.514403,0.94921875,0.000129509,23953.04141,0.000124765,22988.35655,7.94E-06,1635.277006,0.95079343,40.55371901,29.72630044,3671.297035,1.004394531,0.030995637,23291.7263,0.000915089,22816.8511,40.5247971,713.9173554,0.963157801,0.069240669,25.80926641,3527.32278,0.948486328,0.000127218,24083.70991,0.000121275,23215.9309,1.31E-05,1617.263578,0.940686204,41.09751293,29.45850776,3525.992859,0.991455078,0.031397565,23355.69219,0.000922666,22701.05167,41.05368841,985.8443733,0.217948718,0.084087481,0.04147813,0.071266968,0.018099548,0.023755656,0.02224736,0.084841629,0.171191554,0.017722474,0.029411765,0.009803922,0.08785822,0.025263952,0.061463047,0.078808446,0
137.0230797,134.5420123,132.5636495,67.80362526,69.8181202,70.86967366,0.289635065,0.288220198,0.273035235,1.471001574,1.456641553,1.461862824,7.246796151,7.304979496,7.38468928,252,250,255,0.921464586,0.226091763,28.8750691,2952.972913,0.883300781,0.000135213,21183.53759,0.000128026,18689.49037,1.44E-05,8611.803483,0.926205641,42.07707809,34.48060453,3319.616121,0.969238281,0.032116905,21424.20227,0.000943425,20170.87073,41.994717,2799.799244,0.945188004,0.116463737,31.0026469,3274.964002,0.922363281,0.000131217,21902.76575,0.000125442,20238.94515,1.11E-05,4071.787983,0.926437312,42.14883956,34.56609485,3318.42331,0.967773438,0.032165755,21093.02119,0.000945275,19660.32104,42.05828098,3571.952573,0.274071403,0.116480346,0.036062027,0.069960332,0.021997836,0.019834115,0.023079697,0.063469167,0.131987018,0.018391634,0.025604039,0.018031013,0.091597548,0.020915975,0.069960332,0.041831951,0
155.0244716,153.0812013,151.6429366,66.21696785,67.71295721,68.71419086,-0.189967175,-0.175924378,-0.178793511,1.436678198,1.405288978,1.415736703,6.775654309,6.834362109,6.921900758,243,242,245,0.893019057,0.893153208,31.86951182,2486.240405,0.795166016,0.00010328,24376.19343,9.77E-05,20355.03508,2.82E-05,38385.94166,0.892759566,44.55319149,47.90531915,2878.515957,0.91796875,0.033870179,25207.08298,0.000956619,22408.01557,44.34016697,8940.621277,0.909421063,0.412643678,40.94482759,2760.982184,0.849609375,9.73E-05,25872.02787,9.15E-05,22719.46547,1.71E-05,16766.39914,0.891741294,45.0445877,45.82728982,2848.369863,0.908935547,0.034205695,25170.59065,0.000964446,22442.63188,44.78083155,10990.77599,0.293659622,0.08676307,0.040044494,0.094549499,0.022246941,0.020022247,0.013348165,0.066740823,0.147942158,0.033370412,0.020022247,0.022246941,0.109010011,0.026696329,0.08676307,0.050055617,0
151.1083333,148.9151515,145.7931818,60.04333983,61.77512062,62.6873588,-0.00291047,0.006683976,0.019801473,1.5491242,1.513495084,1.533397254,7.319481427,7.358544848,7.391830906,242,240,244,0.944801355,0.252688172,26.87204301,3227.763441,0.908203125,8.46E-05,24766.29167,8.03E-05,23125.52873,1.36E-05,9987.975,0.939906859,41.35463101,32.01386825,3503.874195,0.985839844,0.031533269,24302.90342,0.000887221,23352.96872,41.2875219,2493.795443,0.960752507,0.093360996,28.28993776,3482.82832,0.94140625,8.48E-05,25048.86696,8.21E-05,23856.41896,4.85E-06,3431.909492,0.938914386,41.30331519,31.95497279,3495.698664,0.986816406,0.031501911,24334.17788,0.000885978,23362.1657,41.24666311,2071.085354,0.187878788,0.110606061,0.032575758,0.077272727,0.021212121,0.028030303,0.034090909,0.052272727,0.143181818,0.028787879,0.031818182,0.018181818,0.117424242,0.032575758,0.101515152,0.073484848,0
140.4015573,137.3192436,132.4393771,58.88423096,60.06575352,61.36128578,0.036358802,0.072346151,0.091920366,1.7684552,1.766235501,1.767662691,7.549389792,7.54498336,7.553067563,226,226,230,0.944817934,0.123607427,20.21485411,3266.391512,0.920410156,0.000104687,21924.06127,9.91E-05,20562.66981,1.19E-05,3140.595756,0.945859903,40.81849315,24.43003914,3599.678571,0.998046875,0.031167787,21474.41928,0.000896011,20950.77,40.78253763,807.9107143,0.953503755,0.087160752,20.48434238,3392.978601,0.935546875,0.000103427,22095.10934,9.83E-05,20977.48093,1.13E-05,1853.858038,0.932613139,41.73513243,24.10744628,3404.161919,0.977050781,0.031832341,21689.47751,0.000907277,20982.32626,41.65893444,1129.858571,0.243604004,0.109010011,0.028921023,0.091212458,0.016685206,0.021134594,0.022246941,0.090100111,0.132369299,0.026696329,0.023359288,0.017797553,0.096774194,0.03003337,0.100111235,0.083426029,0
